partno,name,price,gst
30315,VIDAS HBS AG ULTRA 60 T,"7,245.00",5%
30317,VIDAS HBSAG ULTRA CONFIRMATION,"3,450.00",5%
30318,VIDAS ANTI HBS TOTAL II 60T,"10,350.00",5%
30400,VIDAS TSH 60 TESTS,"3,600.00",5%
30402,VIDAS FT3 60 TESTS,"5,455.00",5%
30403,VIDAS T3 60 TESTS,"3,600.00",5%
30404,VIDAS T4 60 TESTS,"3,600.00",5%
30405,VIDAS HCG 60 TESTS,"7,245.00",5%
30406,VIDAS LH 60 TESTS,"7,245.00",5%
30407,VIDAS FSH 60 TESTS,"7,245.00",5%
30409,VIDAS PROGESTERONE 60 TESTS,"8,625.00",5%
30410,VIDAS PROLACTIN 60 TESTS,"7,245.00",5%
30411,VIDAS FERRITIN 60 TESTS,"8,625.00",5%
30413,VIDAS AFP 60 TESTS,"11,385.00",5%
30419,VIDAS IGE 60 TESTS,"9,315.00",5%
30420,VIDAS BETA 2 MICROGL. 30 TESTS,"10,350.00",5%
30421,VIDAS CK MB 30TESTS,"4,500.00",5%
30426,VIDAS CA 125II 30 TESTS,"8,740.00",5%
30427,VIDAS CA 19-9 30 TESTS,"8,740.00",5%
30428,VIDAS TPSA 60 TESTS,"10,695.00",5%
30429,VIDAS CA 15-3 30 TESTS,"8,740.00",5%
30431,VIDAS ESTRADIOL II 60 TESTS,"8,625.00",5%
30436,VIDAS VWF 30 TESTS,"12,190.00",5%
30439,VIDAS HBC IGM II 30TESTS,"6,210.00",5%
30440,VIDAS FPSA 30TESTS,"6,900.00",5%
30441,VIDAS TSH3 60 T,"6,900.00",5%
30443,VIDAS HIV DUO ULTRA 60 TESTS,"7,245.00",5%
30446,VIDAS MYOGLOBINE 30 TESTS,"8,625.00",5%
30450,VIDAS BRAHMS PROCALCITONIN 60T,"48,000.00",5%
30453,VIDAS CEA (S) 60 TESTS,"11,385.00",5%
30458,VIDAS NT-PROBNP 2 60 TESTS,"30,000.00",5%
30459,VIDAS FT4 60 TEST,"5,455.00",5%
30461,VIDAS ANTI-TPO 30 T,"7,500.00",5%
30463,VIDAS TOTAL 25OH VITAMIN D 60T,"24,000.00",5%
30603,VIDAS DIGOXIN 60 TESTS,"11,385.00",5%
32100,ID 32 GN 25STRIPS+25MEDIA,"4,250.00",12%
32200,ID 32 C 25STRIPS+25MEDIA,"5,000.00",12%
32400,ID 32 E 25STRIPS,"4,250.00",12%
32500,ID 32 STAPH 25STRIPS,"4,250.00",12%
32600,RAPID ID 32 STREP 25STRIPS,"4,250.00",12%
32700,RAPID ID 32 E 25STRIPS,"4,250.00",12%
47011,GENOTYPE MYCOBACT.AS 96T,"77,000.00",12%
47012,GENOTYPE MYCOBACT.CM 96T,"77,000.00",12%
47013,GENOTYPE MTBC 96T,"77,000.00",12%
47016,GENOLYSE 96T,"9,000.00",12%
47022,GENOTYPE MTBDRSL 96 TESTS,"87,000.00",12%
66581,FREE HUMAN SERUM,"1,725.00",12%
69285,UNSENSITIZED TUBES 1X2000,"14,000.00",18%
70100,API MINERAL OIL 1X125ML,600.00,12%
70442,NIT1 NIT2 REAGENTS,600.00,18%
70491,NIN X2,600.00,12%
70542,JAMES 2AMP,600.00,12%
70562,FB (FAST BLUE BB) 2AMP,600.00,12%
70572,VPA VPB REAGENTS,600.00,12%
70640,API SUSP. MEDIUM (3ML) 100AMP,"1,500.00",18%
259760,MB/BACT ANTIBIOTIC SUPPLEMENT,"4,000.00",18%
259797,BACT/ALERT MP (PLASTIC),"14,400.00",18%
410028,AST-ST01 TEST KIT 20 CARDS,"4,400.00",
410851,BACT/ALERT FA PLUS (PLASTIC) 1,"20,000.00",18%
410852,BACT/ALERT FN PLUS (PLASTIC) 1,"20,000.00",18%
410853,BACT/ALERT PF PLUS (PLASTIC) 1,"20,000.00",18%
413150,MDBDR PLUS V2,"77,000.00",12%
413170,AST-N235 TEST KIT 20 CARDS,"4,400.00",12%
413557,VIDAS CMV IGG AVIDITY II 30T,"3,450.00",5%
414320,VIDAS TESTOSTERONE II 30 TESTS,"5,750.00",5%
414531,AST-N280 TEST KIT 20 CARDS,"4,400.00",12%
414532,AST-N281 TEST KIT 20 CARDS,"4,400.00",12%
414534,AST-P628 TEST KIT 20 CARDS,"4,400.00",12%
414967,AST-YS07 TEST KIT 20 CARDS,"5,000.00",12%
414997,MYCO ANTIMICROBIAL KIT 100 BTL,"6,500.00",18%
415386,VIDAS HS TROPONIN I 60 TESTS,"15,525.00",5%
415970,GENOTYPE MYCOBACTERIUM AS 12T,"9,625.00",12%
417011,VIDAS AMH 30 TESTS,"27,000.00",5%
419666,GENOTYPE MTBDRSL V2 96T,"87,000.00",12%
419744,BACT/ALERT MP 100 BTLS,"22,000.00",18%
420739,AST-YS08 TEST KIT 20 CARDS,"5,000.00",12%
421040,AST-ST03 TEST KIT 20 CARDS,"4,400.00",12%
421692,AST-N363 TEST KIT 20 CARDS,"4,400.00",12%
421693,AST-N364 TEST KIT 20 CARDS,"4,400.00",12%
423738,"BIOFIRE RP2.1  PANEL, 30 TESTS","2,31,000.00",12%
423742,"BIOFIRE RP2.1 PANEL, 30 TESTS","2,31,000.00",12%
423864,AST-N405 TEST KIT 20 CARDS,"4,600.00",12%
423869,AST-N406 TEST KIT 20 CARDS,"4,600.00",12%
423870,AST-N407 TEST KIT 20 CARDS,"6,600.00",12%
6200190,"BELT,TIMING,3HTD,209GR","7,900.00",18%
29996A,GENOTYPE MYCOBACTERIUM CM VER2,"77,000.00",12%
299A,GENOTYPE MYCOBACTERIUM CM VER2,"20,000.00",12%
30455-02,VIDAS D-DIMER EXCLUSION II 60T,"20,700.00",5%
RFIT-ASY-0104,"FILMARRAY GI PANEL, 6 TESTS","54,000.00",
RFIT-ASY-0116,"FILMARRAY GI PANEL, 30 TESTS","2,70,000.00",12%
RFIT-ASY-0118,"FILMARRAY ME PANEL, 30 TESTS","2,43,000.00",12%
RFIT-ASY-0119,"FILMARRAY ME PANEL, 6 TESTS","54,000.00",12%
RFIT-ASY-0125,"FILMARRAY RESPIRATORY PANEL, 6","63,000.00",12%
RFIT-ASY-0126,"FILMARRAY BCID PANEL, 30 TESTS","1,89,000.00",12%
RFIT-ASY-0127,"FILMARRAY BCID PANEL, 6 TESTS","37,800.00",12%
RFIT-ASY-0136,"FILMARRAY RP2PLUS, 30 TESTS","2,31,000.00",12%
RFIT-ASY-0137,"FILMARRAY RP2PLUS, 6 TESTS","46,200.00",12%
RFIT-ASY-0138,"BioFire Joint Infection Panel,","3,45,000.00",12%
RFIT-ASY-0142,"FILMARRAY PNEUMO PLUS PANEL, 6","66,000.00",12%
RFIT-ASY-0143,"FILMARRAY PNEUMO PLUS PANEL, 3","3,30,000.00",12%
RFIT-ASY-0147,"BIOFIRE BCID2 PANEL, 30 TESTS","1,89,000.00",12%
V1204,SALINE SOLUTION 3X500ML,"1,500.00",0%
